Subregion,ElementID
Mid-Valley WD,23175
Mid-Valley WD,23301
Mid-Valley WD,23303
Mid-Valley WD,23304
Tranquility ID,22371
Tranquility ID,22372
Tranquility ID,22373
Tranquility ID,22464
Tranquility ID,22465
Tranquility ID,22466
Tranquility ID,22467
Tranquility ID,22468
Tranquility ID,22561
Tranquility ID,22562
Tranquility ID,22563
Tranquility ID,22564
Tranquility ID,22661
Tranquility ID,22662
Tranquility ID,22663
Tranquility ID,22664
Tranquility ID,22665
James ID,22565
James ID,22566
James ID,22567
James ID,22568
James ID,22569
James ID,22570
James ID,22666
James ID,22667
James ID,22668
James ID,22669
James ID,22670
James ID,22671
James ID,22672
James ID,22673
James ID,22674
James ID,22765
James ID,22766
James ID,22767
James ID,22768
James ID,22769
James ID,22770
James ID,22771
James ID,22772
James ID,22773
James ID,22774
James ID,22775
James ID,22776
James ID,22777
James ID,22778
James ID,22779
James ID,22880
James ID,22881
James ID,22882
James ID,22883
James ID,22884
James ID,22885
James ID,22886
James ID,22887
James ID,22888
James ID,22889
James ID,22890
James ID,22891
James ID,22892
James ID,22895
James ID,23016
James ID,23017
James ID,23018
James ID,23019
James ID,23020
James ID,23021
James ID,23022
James ID,23023
James ID,23024
James ID,23157
James ID,23158
James ID,23159
James ID,23160
James ID,23161
James ID,23162
James ID,23294
James ID,23295
James ID,23296
James ID,23297
James ID,23298
James ID,23426
James ID,23427
James ID,23428
James ID,23429
James ID,23430
James ID,23431
James ID,23544
James ID,23545
James ID,23546
James ID,23547
Stinson ID,23156
Stinson ID,23292
Stinson ID,23293
Stinson ID,23423
Stinson ID,23424
Stinson ID,23425
Stinson ID,23541
Stinson ID,23542
Stinson ID,23543
Stinson ID,23636
Stinson ID,23637
Stinson ID,23638
Stinson ID,23639
Stinson ID,23640
Stinson ID,23641
Stinson ID,23642
Stinson ID,23727
Stinson ID,23728
Stinson ID,23729
Stinson ID,23730
Stinson ID,23731
Stinson ID,23732
Stinson ID,23733
Stinson ID,23734
Stinson ID,23735
Stinson ID,23736
Stinson ID,23816
Stinson ID,23817
Stinson ID,23818
Stinson ID,23908
Stinson ID,23909
Stinson ID,23910
Stinson ID,23911
Stinson ID,24000
Stinson ID,24001
Stinson ID,24002
Stinson ID,24084
Stinson ID,24085
Stinson ID,24086
Stinson ID,24087
Stinson ID,24088
Stinson ID,24172
Stinson ID,24174
Stinson ID,24175
Riverdale ID,24259
Riverdale ID,24260
Riverdale ID,24261
Riverdale ID,24262
Riverdale ID,24352
Riverdale ID,24353
Riverdale ID,24354
Riverdale ID,24355
Riverdale ID,24356
Riverdale ID,24357
Riverdale ID,24358
Riverdale ID,24454
Riverdale ID,24455
Riverdale ID,24456
Riverdale ID,24457
Riverdale ID,24458
Riverdale ID,24459
Riverdale ID,24460
Riverdale ID,24461
Riverdale ID,24562
Riverdale ID,24563
Riverdale ID,24564
Riverdale ID,24565
Riverdale ID,24566
Riverdale ID,24567
Riverdale ID,24568
Riverdale ID,24569
Riverdale ID,24570
Riverdale ID,24681
Riverdale ID,24682
Riverdale ID,24683
Riverdale ID,24684
Riverdale ID,24685
Riverdale ID,24686
Riverdale ID,24687
Riverdale ID,24688
Riverdale ID,24819
Riverdale ID,24821
Riverdale ID,24822
Riverdale ID,24823
Riverdale ID,24824
Riverdale ID,24825
Liberty WD,24363
Liberty WD,24364
Liberty WD,24365
Liberty WD,24463
Liberty WD,24464
Liberty WD,24465
Liberty WD,24466
Liberty WD,24468
Liberty WD,24469
Liberty WD,24573
Liberty WD,24574
Liberty WD,24575
Liberty WD,24576
Liberty WD,24577
Liberty WD,24578
Liberty WD,24691
Liberty WD,24692
Liberty WD,24695
Liberty WD,24696
Liberty WD,24697
Liberty WD,24698
Liberty WD,24699
Liberty WD,24700
Liberty WD,24831
Liberty WD,24832
Liberty WD,24833
Liberty WD,24834
Liberty WD,24835
Liberty WD,24836
Liberty WD,24977
Liberty WD,24978
Liberty WD,24979
Kings County WD B,25420
Kings County WD B,25421
Kings County WD B,25422
Kings County WD B,25423
Kings County WD B,25426
Kings County WD B,25427
Kings County WD B,25573
Kings County WD B,25574
Kings County WD B,25575
Kings County WD B,25576
Kings County WD B,25577
Kings County WD B,25578
Kings County WD B,25579
Kings County WD B,25580
Kings County WD B,25581
Kings County WD B,25582
Kings County WD B,25583
Kings County WD B,25584
Kings County WD B,25589
Kings County WD B,25705
Kings County WD B,25706
Kings County WD B,25707
Kings County WD B,25708
Kings County WD B,25709
Kings County WD B,25710
Kings County WD B,25711
Kings County WD B,25712
Kings County WD B,25713
Kings County WD B,25714
Kings County WD B,25715
Kings County WD B,25717
Kings County WD B,25718
Kings County WD B,25719
Kings County WD B,25720
Kings County WD B,25721
Kings County WD B,25722
Kings County WD B,25828
Kings County WD B,25829
Kings County WD B,25830
Kings County WD B,25831
Kings County WD B,25832
Kings County WD B,25833
Kings County WD B,25834
Kings County WD B,25835
Kings County WD B,25836
Kings County WD B,25837
Kings County WD B,25838
Kings County WD B,25839
Kings County WD B,25840
Kings County WD B,25841
Kings County WD B,25842
Kings County WD B,25843
Kings County WD B,25928
Kings County WD B,25929
Kings County WD B,25930
Kings County WD B,25931
Kings County WD B,25932
Kings County WD B,25933
Kings County WD B,25934
Kings County WD B,25940
Kings County WD B,25941
Kings County WD B,25942
Kings County WD B,25943
Kings County WD B,25944
Kings County WD B,25945
Kings County WD B,25946
Kings County WD B,25947
Kings County WD B,25948
Kings County WD B,25949
Kings County WD B,25950
Kings County WD B,25951
Kings County WD B,25952
Kings County WD B,25953
Kings County WD B,25954
Kings County WD B,25956
Kings County WD B,25957
Kings County WD B,26042
Kings County WD B,26043
Kings County WD B,26044
Kings County WD B,26045
Kings County WD B,26046
Kings County WD B,26047
Kings County WD B,26048
Kings County WD B,26049
Kings County WD B,26050
Kings County WD B,26051
Kings County WD B,26052
Kings County WD B,26053
Kings County WD B,26054
Kings County WD B,26057
Kings County WD B,26058
Kings County WD B,26059
Kings County WD B,26060
Kings County WD B,26061
Kings County WD B,26062
Kings County WD B,26063
Kings County WD B,26064
Kings County WD B,26065
Kings County WD B,26066
Kings County WD B,26067
Kings County WD B,26154
Kings County WD B,26155
Kings County WD B,26156
Kings County WD B,26157
Kings County WD B,26158
Kings County WD B,26159
Kings County WD B,26160
Kings County WD B,26161
Kings County WD B,26253
Kings County WD B,26254
Kings County WD B,26255
Kings County WD A,25855
Kings County WD A,25962
Kings County WD A,25966
Kings County WD A,25967
Kings County WD A,26039
Kings County WD A,26040
Kings County WD A,26041
Kings County WD A,26068
Kings County WD A,26069
Kings County WD A,26070
Kings County WD A,26072
Kings County WD A,26073
Kings County WD A,26074
Kings County WD A,26075
Kings County WD A,26076
Kings County WD A,26151
Kings County WD A,26152
Kings County WD A,26153
Kings County WD A,26165
Kings County WD A,26166
Kings County WD A,26167
Kings County WD A,26168
Kings County WD A,26169
Kings County WD A,26170
Kings County WD A,26171
Kings County WD A,26172
Kings County WD A,26173
Kings County WD A,26174
Kings County WD A,26175
Kings County WD A,26247
Kings County WD A,26248
Kings County WD A,26249
Kings County WD A,26250
Kings County WD A,26251
Kings County WD A,26252
Kings County WD A,26259
Kings County WD A,26260
Kings County WD A,26261
Kings County WD A,26262
Kings County WD A,26263
Kings County WD A,26264
Kings County WD A,26265
Kings County WD A,26266
Kings County WD A,26267
Kings County WD A,26268
Kings County WD A,26269
Kings County WD A,26270
Kings County WD A,26271
Kings County WD A,26272
Kings County WD A,26343
Kings County WD A,26344
Kings County WD A,26345
Kings County WD A,26346
Kings County WD A,26347
Kings County WD A,26348
Kings County WD A,26349
Kings County WD A,26350
Kings County WD A,26351
Kings County WD A,26352
Kings County WD A,26353
Kings County WD A,26354
Kings County WD A,26355
Kings County WD A,26356
Kings County WD A,26357
Kings County WD A,26358
Kings County WD A,26359
Kings County WD A,26360
Kings County WD A,26361
Kings County WD A,26362
Kings County WD A,26363
Kings County WD A,26364
Kings County WD A,26365
Kings County WD A,26366
Kings County WD A,26367
Kings County WD A,26438
Kings County WD A,26439
Kings County WD A,26440
Kings County WD A,26441
Kings County WD A,26442
Kings County WD A,26443
Kings County WD A,26444
Kings County WD A,26445
Kings County WD A,26446
Kings County WD A,26447
Kings County WD A,26448
Kings County WD A,26449
Kings County WD A,26450
Kings County WD A,26451
Kings County WD A,26452
Kings County WD A,26453
Kings County WD A,26454
Kings County WD A,26455
Kings County WD A,26456
Kings County WD A,26457
Kings County WD A,26458
Kings County WD A,26459
Kings County WD A,26460
Kings County WD A,26461
Kings County WD A,26462
Kings County WD A,26463
Kings County WD A,26543
Kings County WD A,26544
Kings County WD A,26545
Kings County WD A,26546
Kings County WD A,26547
Kings County WD A,26548
Kings County WD A,26549
Kings County WD A,26550
Kings County WD A,26551
Kings County WD A,26552
Kings County WD A,26553
Kings County WD A,26554
Kings County WD A,26555
Kings County WD A,26556
Kings County WD A,26557
Kings County WD A,26558
Kings County WD A,26654
Kings County WD A,26655
Kings County WD A,26656
Kings County WD A,26657
Kings County WD A,26658
Kings County WD A,26659
Kings County WD A,26660
Kings County WD A,26661
Kings County WD A,26756
Kings County WD A,26757
Kings County WD A,26758
Kings County WD A,26759
Kings County WD A,26760
Tri-Valley WD,25020
Tri-Valley WD,25172
Tri-Valley WD,25173
Tri-Valley WD,25174
Tri-Valley WD,25327
Hills Valley ID,25479
Hills Valley ID,25480
Hills Valley ID,25630
Hills Valley ID,25631
Hills Valley ID,25632
Orange Cove ID,25019
Orange Cove ID,25168
Orange Cove ID,25169
Orange Cove ID,25170
Orange Cove ID,25171
Orange Cove ID,25323
Orange Cove ID,25324
Orange Cove ID,25325
Orange Cove ID,25475
Orange Cove ID,25476
Orange Cove ID,25477
Orange Cove ID,25478
Orange Cove ID,25625
Orange Cove ID,25628
Orange Cove ID,25629
Orange Cove ID,25756
Orange Cove ID,25757
Orange Cove ID,25758
Orange Cove ID,25759
Orange Cove ID,25760
Orange Cove ID,25761
Orange Cove ID,25762
Orange Cove ID,25883
Orange Cove ID,25884
Orange Cove ID,25885
Orange Cove ID,25992
Orange Cove ID,25993
Orange Cove ID,25994
Orange Cove ID,25995
Orange Cove ID,26102
Orange Cove ID,26103
Orange Cove ID,26104
Orange Cove ID,26207
Alta ID C,25146
Alta ID C,25302
Alta ID C,25303
Alta ID C,25304
Alta ID C,25305
Alta ID C,25452
Alta ID C,25453
Alta ID C,25455
Alta ID C,25456
Alta ID C,25457
Alta ID C,25458
Alta ID C,25459
Alta ID C,25460
Alta ID C,25461
Alta ID C,25462
Alta ID C,25463
Alta ID C,25464
Alta ID C,25465
Alta ID C,25603
Alta ID C,25604
Alta ID C,25605
Alta ID C,25606
Alta ID C,25608
Alta ID C,25609
Alta ID C,25610
Alta ID C,25611
Alta ID C,25612
Alta ID C,25613
Alta ID C,25614
Alta ID C,25615
Alta ID C,25618
Alta ID C,25733
Alta ID C,25734
Alta ID C,25736
Alta ID C,25737
Alta ID C,25738
Alta ID C,25739
Alta ID C,25740
Alta ID C,25741
Alta ID C,25742
Alta ID C,25743
Alta ID C,25744
Alta ID C,25745
Alta ID C,25746
Alta ID C,25856
Alta ID C,25857
Alta ID C,25858
Alta ID C,25859
Alta ID C,25860
Alta ID C,25861
Alta ID C,25862
Alta ID C,25863
Alta ID C,25864
Alta ID C,25865
Alta ID C,25866
Alta ID C,25867
Alta ID C,25868
Alta ID C,25869
Alta ID C,25870
Alta ID C,25968
Alta ID C,25969
Alta ID C,25970
Alta ID C,25971
Alta ID C,25972
Alta ID C,25973
Alta ID C,25974
Alta ID C,25975
Alta ID C,25976
Alta ID C,25977
Alta ID C,26077
Alta ID C,26078
Alta ID C,26079
Alta ID C,26080
Alta ID C,26081
Alta ID C,26082
Alta ID C,26083
Alta ID C,26084
Alta ID C,26085
Alta ID C,26176
Alta ID C,26177
Alta ID C,26178
Alta ID C,26179
Alta ID C,26180
Alta ID C,26181
Alta ID C,26182
Alta ID C,26183
Alta ID C,26184
Alta ID C,26185
Alta ID C,26275
Alta ID B,25616
Alta ID B,25617
Alta ID B,25747
Alta ID B,25748
Alta ID B,25755
Alta ID B,25871
Alta ID B,25872
Alta ID B,25873
Alta ID B,25874
Alta ID B,25875
Alta ID B,25876
Alta ID B,25877
Alta ID B,25880
Alta ID B,25881
Alta ID B,25882
Alta ID B,25978
Alta ID B,25979
Alta ID B,25980
Alta ID B,25981
Alta ID B,25982
Alta ID B,25983
Alta ID B,25984
Alta ID B,25985
Alta ID B,25986
Alta ID B,25987
Alta ID B,25988
Alta ID B,25989
Alta ID B,25990
Alta ID B,25991
Alta ID B,26086
Alta ID B,26087
Alta ID B,26088
Alta ID B,26089
Alta ID B,26090
Alta ID B,26091
Alta ID B,26092
Alta ID B,26093
Alta ID B,26094
Alta ID B,26095
Alta ID B,26096
Alta ID B,26097
Alta ID B,26098
Alta ID B,26099
Alta ID B,26100
Alta ID B,26101
Alta ID B,26189
Alta ID B,26192
Alta ID B,26193
Alta ID B,26194
Alta ID B,26195
Alta ID B,26196
Alta ID B,26197
Alta ID B,26198
Alta ID B,26199
Alta ID B,26200
Alta ID B,26201
Alta ID B,26202
Alta ID B,26203
Alta ID B,26204
Alta ID B,26205
Alta ID B,26285
Alta ID B,26288
Alta ID B,26289
Alta ID B,26290
Alta ID B,26291
Alta ID B,26295
Alta ID A,24616
Alta ID A,24617
Alta ID A,24618
Alta ID A,24619
Alta ID A,24620
Alta ID A,24621
Alta ID A,24622
Alta ID A,24733
Alta ID A,24734
Alta ID A,24735
Alta ID A,24736
Alta ID A,24737
Alta ID A,24738
Alta ID A,24743
Alta ID A,24744
Alta ID A,24746
Alta ID A,24747
Alta ID A,24748
Alta ID A,24864
Alta ID A,24865
Alta ID A,24866
Alta ID A,24868
Alta ID A,24870
Alta ID A,24878
Alta ID A,24879
Alta ID A,25010
Alta ID A,25011
Alta ID A,25012
Alta ID A,25013
Alta ID A,25014
Alta ID A,25015
Alta ID A,25027
Alta ID A,25028
Alta ID A,25156
Alta ID A,25160
Alta ID A,25161
Alta ID A,25162
Alta ID A,25163
Alta ID A,25164
Alta ID A,25165
Alta ID A,25166
Alta ID A,25167
Alta ID A,25314
Alta ID A,25315
Alta ID A,25316
Alta ID A,25317
Alta ID A,25318
Alta ID A,25319
Alta ID A,25320
Alta ID A,25321
Alta ID A,25322
Alta ID A,25470
Alta ID A,25471
Alta ID A,25472
Alta ID A,25473
Alta ID A,25474
Alta ID A,25619
Alta ID A,25620
Alta ID A,25621
Alta ID A,25622
Alta ID A,25623
Alta ID A,25751
Alta ID A,25752
Alta ID A,25753
Alta ID A,25878
Alta ID A,25879
Kings River WD,24306
Kings River WD,24307
Kings River WD,24308
Kings River WD,24309
Kings River WD,24310
Kings River WD,24311
Kings River WD,24312
Kings River WD,24313
Kings River WD,24394
Kings River WD,24395
Kings River WD,24396
Kings River WD,24397
Kings River WD,24398
Kings River WD,24399
Kings River WD,24400
Kings River WD,24401
Kings River WD,24402
Kings River WD,24403
Kings River WD,24404
Kings River WD,24405
Kings River WD,24406
Kings River WD,24407
Kings River WD,24408
Kings River WD,24492
Kings River WD,24493
Kings River WD,24494
Kings River WD,24495
Kings River WD,24496
Kings River WD,24497
Kings River WD,24498
Kings River WD,24499
Kings River WD,24500
Kings River WD,24501
Kings River WD,24502
Kings River WD,24503
Kings River WD,24504
Kings River WD,24505
Kings River WD,24506
Kings River WD,24507
Kings River WD,24508
Kings River WD,24509
Kings River WD,24510
Kings River WD,24512
Kings River WD,24513
Kings River WD,24516
Kings River WD,24517
Kings River WD,24603
Kings River WD,24604
Kings River WD,24605
Kings River WD,24606
Kings River WD,24607
Kings River WD,24608
Kings River WD,24609
Kings River WD,24610
Kings River WD,24611
Kings River WD,24612
Kings River WD,24613
Kings River WD,24614
Kings River WD,24615
Kings River WD,24623
Kings River WD,24725
Kings River WD,24726
Kings River WD,24727
Kings River WD,24728
Kings River WD,24729
Kings River WD,24730
Kings River WD,24731
Kings River WD,24732
Kings River WD,24859
Kings River WD,24860
Kings River WD,24861
Kings River WD,24862
Kings River WD,24863
Garfield WD,23253
Garfield WD,23254
Garfield WD,23385
Garfield WD,23386
Garfield WD,23387
Garfield WD,23388
Garfield WD,23511
Fresno ID C,23700
Fresno ID C,23704
Fresno ID C,23786
Fresno ID C,23787
Fresno ID C,23788
Fresno ID C,23792
Fresno ID C,23793
Fresno ID C,23873
Fresno ID C,23874
Fresno ID C,23875
Fresno ID C,23876
Fresno ID C,23877
Fresno ID C,23878
Fresno ID C,23881
Fresno ID C,23882
Fresno ID C,23962
Fresno ID C,23963
Fresno ID C,23964
Fresno ID C,23965
Fresno ID C,23966
Fresno ID C,23967
Fresno ID C,23968
Fresno ID C,23969
Fresno ID C,23970
Fresno ID C,23972
Fresno ID C,23973
Fresno ID C,24048
Fresno ID C,24049
Fresno ID C,24050
Fresno ID C,24051
Fresno ID C,24052
Fresno ID C,24053
Fresno ID C,24054
Fresno ID C,24055
Fresno ID C,24056
Fresno ID C,24057
Fresno ID C,24058
Fresno ID C,24059
Fresno ID C,24060
Fresno ID C,24138
Fresno ID C,24139
Fresno ID C,24140
Fresno ID C,24141
Fresno ID C,24142
Fresno ID C,24143
Fresno ID C,24144
Fresno ID C,24225
Fresno ID C,24226
Fresno ID C,24227
Fresno ID C,24228
Fresno ID C,24229
Fresno ID C,24230
Fresno ID C,24314
Fresno ID C,24315
Fresno ID C,24316
Fresno ID C,24317
Fresno ID C,24318
Fresno ID C,24409
Fresno ID C,24410
Fresno ID C,24411
Fresno ID C,24412
Fresno ID C,24413
Fresno ID C,24414
Fresno ID C,24415
Fresno ID C,24511
Fresno ID C,24514
Fresno ID C,24515
Fresno ID C,24518
Fresno ID C,24519
Fresno ID C,24520
Fresno ID C,24521
Fresno ID C,24624
Fresno ID C,24625
Fresno ID C,24626
Fresno ID C,24627
Fresno ID C,24628
Fresno ID C,24745
Fresno ID C,24749
Fresno ID C,24750
Fresno ID C,24880
Fresno ID C,24881
Fresno ID B,23840
Fresno ID B,23841
Fresno ID B,23842
Fresno ID B,23930
Fresno ID B,23931
Fresno ID B,23932
Fresno ID B,23933
Fresno ID B,23934
Fresno ID B,23935
Fresno ID B,24024
Fresno ID B,24025
Fresno ID B,24026
Fresno ID B,24027
Fresno ID B,24028
Fresno ID B,24047
Fresno ID B,24109
Fresno ID B,24110
Fresno ID B,24111
Fresno ID B,24112
Fresno ID B,24113
Fresno ID B,24118
Fresno ID B,24119
Fresno ID B,24127
Fresno ID B,24128
Fresno ID B,24129
Fresno ID B,24130
Fresno ID B,24199
Fresno ID B,24200
Fresno ID B,24201
Fresno ID B,24202
Fresno ID B,24203
Fresno ID B,24205
Fresno ID B,24206
Fresno ID B,24209
Fresno ID B,24210
Fresno ID B,24211
Fresno ID B,24212
Fresno ID B,24284
Fresno ID B,24285
Fresno ID B,24286
Fresno ID B,24287
Fresno ID B,24288
Fresno ID B,24289
Fresno ID B,24290
Fresno ID B,24291
Fresno ID B,24292
Fresno ID B,24293
Fresno ID B,24379
Fresno ID A,22939
Fresno ID A,23043
Fresno ID A,23044
Fresno ID A,23045
Fresno ID A,23069
Fresno ID A,23070
Fresno ID A,23071
Fresno ID A,23072
Fresno ID A,23073
Fresno ID A,23074
Fresno ID A,23185
Fresno ID A,23186
Fresno ID A,23187
Fresno ID A,23188
Fresno ID A,23189
Fresno ID A,23193
Fresno ID A,23194
Fresno ID A,23195
Fresno ID A,23196
Fresno ID A,23197
Fresno ID A,23198
Fresno ID A,23199
Fresno ID A,23200
Fresno ID A,23311
Fresno ID A,23312
Fresno ID A,23313
Fresno ID A,23314
Fresno ID A,23315
Fresno ID A,23316
Fresno ID A,23317
Fresno ID A,23318
Fresno ID A,23319
Fresno ID A,23320
Fresno ID A,23321
Fresno ID A,23322
Fresno ID A,23323
Fresno ID A,23324
Fresno ID A,23325
Fresno ID A,23326
Fresno ID A,23327
Fresno ID A,23328
Fresno ID A,23329
Fresno ID A,23330
Fresno ID A,23331
Fresno ID A,23332
Fresno ID A,23337
Fresno ID A,23338
Fresno ID A,23339
Fresno ID A,23344
Fresno ID A,23345
Fresno ID A,23346
Fresno ID A,23348
Fresno ID A,23349
Fresno ID A,23350
Fresno ID A,23351
Fresno ID A,23352
Fresno ID A,23353
Fresno ID A,23354
Fresno ID A,23355
Fresno ID A,23443
Fresno ID A,23444
Fresno ID A,23445
Fresno ID A,23446
Fresno ID A,23447
Fresno ID A,23448
Fresno ID A,23449
Fresno ID A,23450
Fresno ID A,23451
Fresno ID A,23452
Fresno ID A,23453
Fresno ID A,23454
Fresno ID A,23455
Fresno ID A,23456
Fresno ID A,23457
Fresno ID A,23458
Fresno ID A,23459
Fresno ID A,23460
Fresno ID A,23461
Fresno ID A,23462
Fresno ID A,23464
Fresno ID A,23465
Fresno ID A,23466
Fresno ID A,23467
Fresno ID A,23468
Fresno ID A,23469
Fresno ID A,23470
Fresno ID A,23471
Fresno ID A,23472
Fresno ID A,23473
Fresno ID A,23474
Fresno ID A,23475
Fresno ID A,23476
Fresno ID A,23477
Fresno ID A,23478
Fresno ID A,23479
Fresno ID A,23563
Fresno ID A,23564
Fresno ID A,23565
Fresno ID A,23566
Fresno ID A,23568
Fresno ID A,23569
Fresno ID A,23570
Fresno ID A,23571
Fresno ID A,23572
Fresno ID A,23573
Fresno ID A,23574
Fresno ID A,23575
Fresno ID A,23576
Fresno ID A,23577
Fresno ID A,23578
Fresno ID A,23579
Fresno ID A,23580
Fresno ID A,23581
Fresno ID A,23582
Fresno ID A,23583
Fresno ID A,23584
Fresno ID A,23585
Fresno ID A,23586
Fresno ID A,23662
Fresno ID A,23663
Fresno ID A,23664
Fresno ID A,23665
Fresno ID A,23666
Fresno ID A,23667
Fresno ID A,23668
Fresno ID A,23669
Fresno ID A,23670
Fresno ID A,23671
Fresno ID A,23672
Fresno ID A,23673
Fresno ID A,23674
Fresno ID A,23675
Fresno ID A,23676
Fresno ID A,23677
Fresno ID A,23678
Fresno ID A,23679
Fresno ID A,23680
Fresno ID A,23755
Fresno ID A,23756
Fresno ID A,23757
Fresno ID A,23758
Fresno ID A,23759
Fresno ID A,23760
Fresno ID A,23761
Fresno ID A,23762
Fresno ID A,23763
Fresno ID A,23764
Fresno ID A,23765
Fresno ID A,23766
Fresno ID A,23767
Fresno ID A,23844
Fresno ID A,23845
Fresno ID A,23846
Fresno ID A,23847
Fresno ID A,23848
Fresno ID A,23849
Fresno ID A,23850
Fresno ID A,23851
Fresno ID A,23852
Fresno ID A,23853
Fresno ID A,23854
Fresno ID A,23855
Fresno ID A,23856
Fresno ID A,23936
Fresno ID A,23937
Fresno ID A,23938
Fresno ID A,23939
Fresno ID A,23940
Fresno ID A,23941
Fresno ID A,23942
Fresno ID A,23943
Fresno ID A,23944
Fresno ID A,23945
Fresno ID A,23946
Fresno ID A,24029
Fresno ID A,24030
Fresno ID A,24031
Fresno ID A,24032
Fresno ID A,24033
Fresno ID A,24034
Fresno ID A,24035
Fresno ID A,24114
Fresno ID A,24115
Fresno ID A,24116
Fresno ID A,24117
Consolidated ID B,24131
Consolidated ID B,24132
Consolidated ID B,24133
Consolidated ID B,24134
Consolidated ID B,24135
Consolidated ID B,24136
Consolidated ID B,24214
Consolidated ID B,24215
Consolidated ID B,24216
Consolidated ID B,24217
Consolidated ID B,24218
Consolidated ID B,24219
Consolidated ID B,24298
Consolidated ID B,24299
Consolidated ID B,24300
Consolidated ID B,24301
Consolidated ID B,24302
Consolidated ID B,24303
Consolidated ID B,24304
Consolidated ID B,24305
Consolidated ID B,24387
Consolidated ID B,24388
Consolidated ID B,24389
Consolidated ID B,24390
Consolidated ID B,24391
Consolidated ID B,24392
Consolidated ID B,24393
Consolidated ID B,24486
Consolidated ID B,24487
Consolidated ID B,24488
Consolidated ID B,24489
Consolidated ID B,24490
Consolidated ID B,24491
Consolidated ID B,24597
Consolidated ID B,24598
Consolidated ID B,24599
Consolidated ID B,24600
Consolidated ID B,24601
Consolidated ID B,24602
Consolidated ID B,24715
Consolidated ID B,24716
Consolidated ID B,24717
Consolidated ID B,24719
Consolidated ID B,24720
Consolidated ID B,24721
Consolidated ID B,24722
Consolidated ID B,24723
Consolidated ID B,24724
Consolidated ID B,24848
Consolidated ID B,24849
Consolidated ID B,24850
Consolidated ID B,24851
Consolidated ID B,24852
Consolidated ID B,24853
Consolidated ID B,24854
Consolidated ID B,24855
Consolidated ID B,24856
Consolidated ID B,24857
Consolidated ID B,24858
Consolidated ID B,24992
Consolidated ID B,24993
Consolidated ID B,24994
Consolidated ID B,24995
Consolidated ID B,24996
Consolidated ID B,24997
Consolidated ID B,24998
Consolidated ID B,24999
Consolidated ID B,25000
Consolidated ID B,25001
Consolidated ID B,25002
Consolidated ID B,25003
Consolidated ID B,25004
Consolidated ID B,25005
Consolidated ID B,25006
Consolidated ID B,25007
Consolidated ID B,25008
Consolidated ID B,25009
Consolidated ID B,25140
Consolidated ID B,25141
Consolidated ID B,25142
